标题,小区,区域,售价,单价,户型,面积,朝向,装修,楼层,年份,建筑类型,详情页
急售房源，价格好，地铁口，师大长郡,玫瑰园 ,金星北,69.5,6242,3室2厅,111.35,南,毛坯,中楼层(共10层),2007年,板楼,https://cs.lianjia.com/ershoufang/104113036008.html
全新未入住，2018年的房子。小区绿化精致。没有噪音,旺德府恺悦国际 ,月湖,74,7672,3室2厅,96.46,南,精装,中楼层(共28层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104113116702.html
中交两梯两户装修50三房，拎包入住，近龙湖天街，地铁,中交中央公园 ,汽车东站,150,11704,3室2厅,128.17,南,其他,中楼层(共28层),2012年,板塔结合,https://cs.lianjia.com/ershoufang/104113194937.html
高铁西 次新房2020年交房 2梯3户 南北通透4房,荣盛岳麓峰景 ,望城区,90.3,7103,4室2厅,127.13,南 北,毛坯,高楼层(共33层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111746716.html
金茂湾三期大平层 精装未入住过 横厅设计 采光通风好,金茂湾3期 ,梅溪湖南岸,418,20154,4室2厅,207.41,南,精装,高楼层(共47层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113475593.html
5号线高桥北正地铁口南北通透三居诚心出手,锦湘国际星城一期 ,尚东,105,8174,3室2厅,128.46,南 北,简装,低楼层(共12层),2005年,板楼,https://cs.lianjia.com/ershoufang/104113398727.html
高桥商圈2/5/6三地铁口省个税带燃气精装两房中间楼层,汇都公寓 ,尚东,42,7711,2室1厅,54.47,南,精装,33层,2010年,塔楼,https://cs.lianjia.com/ershoufang/104108753575.html
次新小区，地铁公交出行便利，业主急售,中国铁建山语城三期 ,金霞,65,7291,3室1厅,89.16,南,毛坯,低楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113659163.html
次新小区，精致小姐姐99新的二手房，全屋品牌家具家电,世茂璀璨天城 ,树木岭,156,14893,3室2厅,104.75,南,精装,低楼层(共25层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113399569.html
铁道学院双地铁口旁 剑桥名门三房 交通方便视野开阔,剑桥名门 ,铁道学院,98,7901,3室2厅,124.05,东南,简装,中楼层(共32层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104113236810.html
装修30个只住了一年，长梅有可用，时尚与实用并存,合能璞丽 ,梅溪湖北岸,136,14534,3室1厅,93.58,南,其他,中楼层(共34层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104111758498.html
通车库 精装两房 总价低 看房方便 广电 月湖公园,恒大雅苑 ,广电,80,9066,2室2厅,88.25,南,简装,中楼层(共26层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111609422.html
地铁口居家三房 位置安静 诚心出售,楠熙筱苑 ,青竹湖,54,6122,3室2厅,88.22,南,精装,高楼层(共18层),2012年,板塔结合,https://cs.lianjia.com/ershoufang/104111698545.html
中高楼层，户型周正，带天然气和阳台，入泰语,美洲故事 ,万家丽南路,38,7540,1室1厅,50.4,南,精装,中楼层(共33层),2015年,塔楼,https://cs.lianjia.com/ershoufang/104111491152.html
万科典藏三房，地铁口， 满五唯一安静宜居，拎包入住,万科金域华府 ,武广新城,120,12372,3室2厅,97,南 北,精装,高楼层(共30层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113024849.html
房子满五唯一出价就谈南北向户型通透，边户楼层好,恒大雅苑 ,广电,120,9602,3室1厅,124.98,南,精装,中楼层(共15层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112700694.html
玫瑰园十分好房，中间楼层诚心出售,玫瑰园 ,金星北,75.8,6622,3室2厅,114.48,南 北,精装,高楼层(共9层),2007年,板楼,https://cs.lianjia.com/ershoufang/104111379071.html
湘江世纪城望江苑江景房四房纯毛坯产证在手诚心出售,世纪城望江苑 ,湘江世纪城,190,11127,4室2厅,170.76,南 北,毛坯,高楼层(共33层),2008年,板楼,https://cs.lianjia.com/ershoufang/104112806962.html
清水毛坯，楼栋好，中间楼层，视野好无遮挡,西子花苑 ,高桥,128,9263,3室2厅,138.19,南 北,其他,中楼层(共18层),2008年,板楼,https://cs.lianjia.com/ershoufang/104112443094.html
中间楼层 小户型 总价低 正地铁,锦绣世纪 ,赤岗冲,54,9965,1室1厅,54.19,南,其他,低楼层(共18层),2011年,塔楼,https://cs.lianjia.com/ershoufang/104111837198.html
房子满五唯一免个税，次新小区，人车分流低密,筑梦星园 ,万家丽北,89,8375,4室2厅,106.27,南 北,精装,高楼层(共33层),2020年,塔楼,https://cs.lianjia.com/ershoufang/104113578029.html
江景房，地铁口，次新21年小区，绿化好,润和天地印湘江 ,金星北,120,10910,4室2厅,110,南,毛坯,中楼层(共31层) ,,塔楼,https://cs.lianjia.com/ershoufang/104112369515.html
中间楼层一手毛坯，有钥匙，位置安静，诚心出售,中冶中央公园 ,东方红,126,11237,3室2厅,112.13,南,毛坯,中楼层(共24层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113025628.html
麓谷北永旺梦乐城旁，中粮鸿云全新精装三房急售,中粮鸿云 ,望城区,62.8,7009,3室2厅,89.61,南,精装,高楼层(共34层) ,,塔楼,https://cs.lianjia.com/ershoufang/104113248851.html
信城湘江揽月 2室1厅 西,信城湘江揽月 ,金星北,23,6490,2室1厅,35.44,西,精装,低楼层(共28层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113372304.html
铁道学院地铁口 7号线花园小区人车分流 通透大三房,湘水一城 ,韶山南路,107.8,7999,3室2厅,134.77,东南,精装,高楼层(共18层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104113703096.html
泉塘，方略潇邦，精装2房，诚心出售,方略潇邦 ,泉塘,46,5096,2室2厅,90.27,南,精装,中楼层(共33层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104104888288.html
明发阅江悦府5-2-1-2 119.54m² 120 万,明发阅江悦府 ,金星北,103,8617,5室2厅,119.54,南,毛坯,中楼层(共34层) ,,塔楼,https://cs.lianjia.com/ershoufang/104111813777.html
40年产权 视野开阔 采光好一整层,水岸天际 ,喜盈门,29,5795,1室0厅,50.05,南,其他,中楼层(共26层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113172822.html
40年产权 视野开阔 采光好一整层,水岸天际 ,喜盈门,29,5427,1室1厅,53.44,南,其他,中楼层(共26层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113246879.html
近洞井路 王家冲 业主置换诚心出售 看房方便价格可谈,建丰公寓 ,雨花亭,62,6592,2室2厅,94.06,南,其他,高楼层(共9层),2009年,板楼,https://cs.lianjia.com/ershoufang/104109689469.html
目前房子在出售，空置，欢迎多多带看房,桂花楼 ,赤岗冲,99.8,6909,3室2厅,144.47,南 北,其他,中楼层(共8层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113049412.html
居家装修 中间楼层 大三房 户型好 正地铁口 带砂子塘,恒大绿洲 ,武广新城,130,11712,3室2厅,111,北,其他,中楼层(共32层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113346872.html
高铁南板块 精装3房 诚心出售 自住装修,绿地之窗 ,武广新城,128,11678,3室2厅,109.61,南,精装,高楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112689813.html
双地铁口恒大绿洲 拎包入住南北通透三房 带砂子塘！!,恒大绿洲 ,武广新城,155,12369,3室2厅,125.32,南 北,其他,低楼层(共32层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111943439.html
满五唯一 中间楼层 双**未使用 诚心出售,万科魅力之城 ,武广新城,125,12900,3室2厅,96.9,东南,精装,34层 ,,板塔结合,https://cs.lianjia.com/ershoufang/104112994950.html
诚心出售  全明南北通透  有车位  交通便利,优山美地 ,武广新城,145,12294,3室1厅,117.95,南 北,精装,低楼层(共24层),2013年,板楼,https://cs.lianjia.com/ershoufang/104113267391.html
一线浏阳河，两梯两户纯板，次新小区，毛坯房,伊景园滨河苑 ,武广新城,115,10446,3室2厅,110.1,南 北,其他,高楼层(共34层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113225750.html
3号线地铁桂花公园站 楼层好 视野很好，无遮挡,佳天瑞宁花园 ,赤岗冲,95,11186,2室2厅,84.93,南 北,简装,中楼层(共33层),2008年,塔楼,https://cs.lianjia.com/ershoufang/104110454595.html
业主诚心出手家具家电齐全入泰禹三期中间楼层,泰禹家园3期 ,万家丽南路,92,10110,2室1厅,91,北,精装,低楼层(共18层),2005年,板塔结合,https://cs.lianjia.com/ershoufang/104112471813.html
保利大都汇 次新小区 小三房 业主诚心出售,保利大都汇 ,高桥,148.8,16394,3室1厅,90.77,东,毛坯,高楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112211844.html
湘水郡 2室1厅 南,湘水郡 ,万家丽南路,62,6896,2室1厅,89.91,南,其他,高楼层(共24层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113111880.html
天济山庄 2室1厅 南,天济山庄 ,汽车南站,50,8066,2室1厅,61.99,南,其他,中楼层(共15层) ,,塔楼,https://cs.lianjia.com/ershoufang/104113004129.html
安静楼栋，楼层好，业主自住，拎包入住，近地铁口。,恒大绿洲 ,武广新城,99.8,12554,2室1厅,79.5,南,精装,中楼层(共32层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112674092.html
雨花区地铁口宜居自住精装2房，中高楼层，诚意出售,翡翠云天 ,万家丽南路,82,9313,2室2厅,88.05,南,精装,高楼层(共18层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112737928.html
桂花树小xue 3号线地铁口精装两房中间楼,佳天瑞宁花园 ,赤岗冲,91.8,10730,2室1厅,85.56,南 北,精装,高楼层(共29层),2008年,塔楼,https://cs.lianjia.com/ershoufang/104112824251.html
高得房毛坯三房两厅两卫客厅卧室能俯看别墅群,佳兆业水岸新都西区 ,跳马,55,6188,3室2厅,88.89,南,其他,高楼层(共26层),2012年,板楼,https://cs.lianjia.com/ershoufang/104112666306.html
小情侣婚房 ，人车分流，上学方便，,万科魅力之城 ,武广新城,133,13201,3室1厅,100.75,南,精装,48层 ,,板塔结合,https://cs.lianjia.com/ershoufang/104112514749.html
一线湖景房 家具家电齐全 拎包入住 带入户花园,恒大绿洲 ,武广新城,145,12065,3室1厅,120.19,南,其他,高楼层(共32层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112930054.html
满五唯一，南北对流，通风采光好  房东自住装修,汇城上筑 ,韶山南路,126,8975,3室2厅,140.4,南 北,精装,低楼层(共18层),2010年,板塔结合,https://cs.lianjia.com/ershoufang/104113001626.html
一梯两户纯板楼密度低业主诚心卖看房方便,华银园 ,雨花亭,170,10305,4室1厅,164.97,东南,其他,低楼层(共14层),2006年,板塔结合,https://cs.lianjia.com/ershoufang/104113199395.html
地铁口，总价低，公摊小，出行购物方便,弘欣公寓 ,德思勤,70,7821,2室2厅,89.51,南,精装,低楼层(共18层),2010年,板塔结合,https://cs.lianjia.com/ershoufang/104113041079.html
雨花亭卷烟厂单位小区 环境优美 拥有室内停车场,白沙苑 ,雨花亭,90,7448,3室2厅,120.85,北 南,简装,高楼层(共8层),2002年,板塔结合,https://cs.lianjia.com/ershoufang/104112643769.html
经典周正大两房，中间楼层，位置好，德思勤商圈，方便,新盛珑璟台 ,喜盈门,90,10409,2室2厅,86.47,南,精装,中楼层(共31层),2011年,塔楼,https://cs.lianjia.com/ershoufang/104111778148.html
阳光城尚东湾（学园区） 3房2厅2卫 南北对流 户型周正,阳光城尚东湾（学园区） ,武广新城,145,11966,3室2厅,121.18,南,其他,低楼层(共31层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104108295399.html
万坤图财富广场 1室1厅 北,万坤图财富广场 ,树木岭,45,8429,1室1厅,53.39,北,其他,中楼层(共28层),2014年,塔楼,https://cs.lianjia.com/ershoufang/104113367141.html
武广新城次新小区 毛坯大平层 环境绿化45% 钥匙看房,明昇壹城 ,武广新城,320,19028,4室2厅,168.18,南 北,毛坯,中楼层(共48层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112321579.html
南北双阳台清水毛胚高品质三房两卫,明昇壹城 ,武广新城,218.8,16895,3室2厅,129.51,南,其他,低楼层(共47层),2018年,板楼,https://cs.lianjia.com/ershoufang/104111114239.html
洋湖北 自住精装修 拎包入住 房东急售 出价谈,锑都家园 ,含浦,59.8,6215,2室2厅,96.22,南,精装,低楼层(共33层),2006年,板楼,https://cs.lianjia.com/ershoufang/104112877955.html
正地铁口+万科品质+次新楼盘+步步高旁+诚意出售,万科金色梦想 ,东方红,126,12515,3室2厅,100.68,南,精装,低楼层(共25层),2019年,板塔结合,https://cs.lianjia.com/ershoufang/104112552958.html
高鑫麓城   小三房   业主急售,高鑫麓城 ,商学院,118.8,13285,3室2厅,89.43,北,精装,低楼层(共30层),2012年,板塔结合,https://cs.lianjia.com/ershoufang/104113156049.html
梅溪湖金茂湾 3室1厅 南,梅溪湖金茂湾 ,梅溪湖南岸,158,14781,3室1厅,106.9,南,精装,高楼层(共46层) ,,板楼,https://cs.lianjia.com/ershoufang/104113737340.html
八方小区二期B区  紧靠长郡这边 特好楼层，总价低。,八方小区B区 ,市政府,398,31228,3室2厅,127.45,东南,其他,中楼层(共32层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112583522.html
麓谷芯次新小区长房云时代周正大三房,长房云时代 ,雷锋大道,120.8,10441,3室2厅,115.7,南 北,毛坯,中楼层(共34层) ,,塔楼,https://cs.lianjia.com/ershoufang/104113657030.html
保利经典居家三房 保养好 装修好 视野好,保利麓谷林语蔷薇谷 ,麓谷西,96.8,10562,3室2厅,91.65,东南,精装,高楼层(共18层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104112328978.html
满五唯一，小高层，视野开阔，3房格局，95成新自住房,公园尚 ,含浦,71,8228,3室2厅,86.3,南,其他,高楼层(共18层),2014年,板楼,https://cs.lianjia.com/ershoufang/104113400495.html
好楼栋、好楼层，满五唯一，师博梅、正地铁口,金茂悦 ,梅溪湖北岸,160,15207,3室2厅,105.22,南,精装,中楼层(共33层) ,,塔楼,https://cs.lianjia.com/ershoufang/104113224326.html
南北大双阳台 满五唯一 毛坯大三房 位置好 户型周正,中建麓山和苑 ,含浦,90,6481,3室2厅,138.88,南,毛坯,高楼层(共21层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104112887439.html
采光好 视野好 地铁近 小区配套成熟,振业城二期 ,梅溪湖北岸,140,11820,3室2厅,118.45,南,简装,33层,2017年,板塔结合,https://cs.lianjia.com/ershoufang/104111748631.html
麓谷星辰 2房2厅 户型方正 安静 诚心出售 看房随时,麓谷星辰 ,东方红,79.8,10571,2室2厅,75.49,南,毛坯,高楼层(共30层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104111850399.html
滨江新城，南北通透，3房2卫，德润园小区，近地铁,德润园 ,观沙岭,68,6939,3室2厅,98,南 北,毛坯,中楼层(共5层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112828930.html
洋湖新城，地铁口，100万出头精装景观房。,合能洋湖公馆一期 ,洋湖垸,102.88,11853,3室2厅,86.8,南,精装,低楼层(共28层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113606338.html
洋湖西 江山帝景精装修1房 拎包入住 诚心急售,江山帝景哈佛 ,含浦,32.2,7529,1室1厅,42.77,南,精装,高楼层(共28层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112313413.html
丽臣小区 两室一厅 满五唯一 小区环境优美 宜居,丽臣小区 ,岳麓其他,36,5435,2室1厅,66.24,南 北,其他,中楼层(共6层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113190623.html
"米兰春天小高层南北通透格局,小高层位置安静",米兰春天 ,含浦,115,7956,4室2厅,144.56,南 北,精装,中楼层(共9层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112959527.html
双公园 清水毛坯 通透户型4+1户型 三代同堂 带 博 才,西湖丽景 ,桐梓坡,200,13499,5室2厅,148.17,南,毛坯,中楼层(共17层),2009年,板塔结合,https://cs.lianjia.com/ershoufang/104111970817.html
滨江金融凯德壹旁 正规两室一厅 适合居住,金麓小区 ,观沙岭,50,7768,2室1厅,64.37,南,简装,低楼层(共6层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113763466.html
中间楼层，满五唯一，家电齐全拎包入住，环境优美,涉外公馆 ,枫林三路,135,8170,4室2厅,165.24,南 北,精装,高楼层(共24层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104108118237.html
合能洋湖公馆一期 诚意卖 洋湖湿地公园 地铁500米,合能洋湖公馆一期 ,洋湖垸,39,6417,2室1厅,60.78,南,精装,低楼层(共33层),2013年,塔楼,https://cs.lianjia.com/ershoufang/104112337539.html
麓谷芯次新小区长房云时代周正小三房,长房云时代 ,雷锋大道,86,9427,3室2厅,91.23,南,毛坯,低楼层(共33层) ,,塔楼,https://cs.lianjia.com/ershoufang/104113645015.html
次新小区 环境好 近地铁 公园就在家门口,北大资源理想家园 ,洋湖垸,182,15636,4室2厅,116.4,南,毛坯,高楼层(共17层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112174410.html
兰亭湾畔一房V复试，低层不用等电梯，小区内环境好,兰亭湾畔二期三期 ,洋湖垸,16,6510,1室1厅,24.58,南 北,其他,低楼层(共27层),2017年,塔楼,https://cs.lianjia.com/ershoufang/104113136509.html
滨江小三房近地铁医院环境好视野开阔你,兰亭都荟 ,桐梓坡,129,14195,3室2厅,90.88,南,精装,低楼层(共32层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104113332550.html
房子权属清晰，楼层好，视野开阔，指标可用,恒大华府 ,市政府,127,13826,2室1厅,91.86,南,精装,中楼层(共26层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104107042361.html
随时看房，诚意出售，红本在手，,万科金色梦想 ,东方红,196,14374,4室2厅,136.36,南,精装,高楼层(共34层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113504523.html
新上刚需三房，业主急售，出价就谈。,高信向日葵 ,金星中路,98.8,10993,3室2厅,89.88,南,简装,低楼层(共18层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104112930005.html
青秀三期 南北对流 满五唯一 学堂未用 产证在手楼层好,中国铁建梅溪青秀三期 ,梅溪湖北岸,207,14965,4室2厅,138.33,南,毛坯,中楼层(共32层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112380061.html
南北通，采光充足，视野开阔。户型格局好，宜租宜住,荣盛花语馨苑 ,麓谷西,72,8274,3室2厅,87.03,南 北,精装,低楼层(共34层),2014年,塔楼,https://cs.lianjia.com/ershoufang/104111195468.html
中间楼层 户型周正 位置安静，舒适度高。,恒大御景天下二期 ,金霞,98,9222,3室2厅,106.27,南,其他,中楼层(共32层) ,,塔楼,https://cs.lianjia.com/ershoufang/104111783992.html
新城和樾 家具家电齐全 拎包入住 价格可谈,新城和樾 ,金霞,165,11382,3室2厅,144.97,南 北,精装,低楼层(共33层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112108258.html
湘江壹号三期 4室1厅 南,湘江壹号三期 ,金霞,420,15765,4室1厅,266.42,南,其他,高楼层(共31层),2012年,板楼,https://cs.lianjia.com/ershoufang/104113579344.html
国企大盘，中高楼层看江精美户型，业主诚心，看房方便,万境潇湘 ,金霞,185,13310,4室2厅,139,南 北,其他,高楼层(共33层) ,,板楼,https://cs.lianjia.com/ershoufang/104112953654.html
地铁口四房，省公务员品质小区，看小区花园保利商场旁,湘诚德峰小区C区 ,金霞,139.8,9023,4室2厅,154.95,南,其他,低楼层(共32层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104112982175.html
可以看江视野好，采光好，随时看房,绿地海外滩一期 ,金霞,63,7576,2室1厅,83.16,南 北,其他,低楼层(共32层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104111407896.html
近地铁口，户型方正，采光好，带地暖，河景房,双湾国际 ,金霞,233,12620,5室2厅,184.63,东南,精装,中楼层(共33层),2010年,板塔结合,https://cs.lianjia.com/ershoufang/104112849440.html
堤亚纳湾135平4房 带前后大花园一楼洋房,堤亚纳湾洋房区 ,金霞,175,12999,4室2厅,134.63,南,毛坯,低楼层(共6层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104112094487.html
此房江边栋大三房 精装修 户型好 视野宽阔 采光充足,世纪城融江苑 ,湘江世纪城,180,12476,3室2厅,144.28,南,精装,高楼层(共33层),2010年,塔楼,https://cs.lianjia.com/ershoufang/104113214895.html
六层电梯板楼     真洋房   低密度小区,堤亚纳湾洋房区 ,金霞,129,9298,4室2厅,138.75,南,毛坯,中楼层(共6层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104110263846.html
山语城三期，精装大三房，拎包入住，业主诚心出售,中国铁建山语城三期 ,金霞,125,11392,3室2厅,109.73,南,精装,低楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113178773.html
人造板厂 湘江边 文昌阁 湘雅医院,人造板宿舍 ,伍家岭,60,8920,2室2厅,67.27,南 北,其他,中楼层(共7层) ,,板楼,https://cs.lianjia.com/ershoufang/104112735946.html
天健城 2020楼盘 精装修 三房 拎包入住配套齐 看房约,天健城 ,伍家岭,171,17256,3室2厅,99.1,南 北,其他,低楼层(共34层),2019年,塔楼,https://cs.lianjia.com/ershoufang/104111781716.html
湘江壹号 一线江景 南北通透 开放式厨房 户型周正,湘江壹号三期 ,金霞,342,13953,4室2厅,245.11,南 北,毛坯,中楼层(共30层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104106994135.html
高区景观 南北通透 有车位 满五唯一 中间位置安静宜居,世纪城鸿江苑 ,湘江世纪城,145,10870,3室2厅,133.4,南 北,精装,中楼层(共33层),2008年,板塔结合,https://cs.lianjia.com/ershoufang/104111552771.html
03户型，全线江景和山景，此户型在售的只有三套。,湘江壹号三期 ,金霞,325,12885,5室2厅,252.24,南,其他,低楼层(共31层),2020年,板楼,https://cs.lianjia.com/ershoufang/104113024502.html
世纪城揽江苑 4室2厅 南 北,世纪城揽江苑 ,湘江世纪城,178,12006,4室2厅,148.27,南 北,其他,低楼层(共23层),2010年,板楼,https://cs.lianjia.com/ershoufang/104112994151.html
二环旁 秀峰公园 山水卿卿 毛坯复式 带大平台,恒鑫山水卿卿 ,金霞,90,10234,3室1厅,87.95,南,毛坯,高楼层(共28层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104107828117.html
鸿江苑 已做四房 前两年刚装 能拎包 北雅护航 无抵押,世纪城鸿江苑 ,湘江世纪城,173,12412,4室2厅,139.39,南 北,其他,中楼层(共33层),2010年,板楼,https://cs.lianjia.com/ershoufang/104112706078.html
"全新未住人,视野宽阔，一线江景,",万境潇湘 ,金霞,140,12690,3室2厅,110.33,南,其他,高楼层(共27层) ,,板楼,https://cs.lianjia.com/ershoufang/104113079487.html
此房联排边户，带前后花园地下室 ，使用面积达400平,湖山赋 ,金霞,488,26164,4室2厅,186.52,南 北,其他,低楼层(共3层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112995524.html
南边苑，南北对流双阳台，业主诚心出售。,世纪城咏江苑 ,湘江世纪城,129,9902,3室2厅,130.28,南 北,精装,低楼层(共23层),2009年,塔楼,https://cs.lianjia.com/ershoufang/104113119424.html
清水毛坯 视野开阔 采光充足 配套设施齐全 楼层好,绿地海外滩二期 ,金霞,82.4,7500,3室2厅,109.88,南,毛坯,低楼层(共33层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111774885.html
地铁口毛坯小三房，业主诚心出售,恒大御景半岛锦绣苑 ,湘江世纪城,100,10612,3室2厅,94.24,南,其他,低楼层(共40层) ,,板楼,https://cs.lianjia.com/ershoufang/104113531198.html
南边苑南北通风小三房，居家精装带家电,世纪城星江苑 ,湘江世纪城,122,12118,3室2厅,100.68,南,其他,中楼层(共33层),2008年,板楼,https://cs.lianjia.com/ershoufang/104112729011.html
南北通透大3房带2卫 高楼层视野开阔 有钥匙随时看房,世纪城融江苑 ,湘江世纪城,133,10891,3室2厅,122.13,南 北,其他,高楼层(共33层),2010年,塔楼,https://cs.lianjia.com/ershoufang/104111367249.html
天子之层，经典小四房，南北对流，带清水塘和北雅，,世纪城贯江苑 ,湘江世纪城,125,9920,4室2厅,126.01,南 北,精装,高楼层(共28层),2008年,塔楼,https://cs.lianjia.com/ershoufang/104107277123.html
省个税，市区顶复，有大露台。。。,新河家具城 ,伍家岭,116,7447,4室1厅,155.78,南 北,其他,高楼层(共8层) ,,塔楼,https://cs.lianjia.com/ershoufang/104112802093.html
绿地海外滩小三房 业主诚心出售 小区绿化高 环境优美,绿地海外滩一期 ,金霞,73,9542,3室2厅,76.51,南 北,精装,中楼层(共32层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104110351527.html
地铁口宿龙桥站50米.全新毛坯.房东急售.次新房.,塞纳公馆 ,金霞,106.1,9070,3室2厅,116.98,南 北,毛坯,高楼层(共32层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104110428855.html
房子朝南阳光充足，业主自住精装，环保材料,先锋东外滩 ,马王堆,43.9,8960,1室1厅,49,东,其他,高楼层(共34层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104109312827.html
红橡华园  大三房  拎包入住,红橡华园 ,马王堆,195,15477,3室2厅,126,南,精装,低楼层(共33层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104112815612.html
先锋东外滩  正规两房  拎包入住,先锋东外滩 ,马王堆,87,9745,2室1厅,89.28,南,其他,高楼层(共34层),2011年,塔楼,https://cs.lianjia.com/ershoufang/104112116032.html
先锋东外滩 漂亮的装修  三室两厅,先锋东外滩 ,马王堆,145,10711,3室2厅,135.38,南 北,其他,高楼层(共34层),2011年,塔楼,https://cs.lianjia.com/ershoufang/104112927137.html
芙蓉区婚庆公园旁 区政府单位房芙蓉公寓 电梯洋房急售,芙蓉公寓 ,马王堆,170,10553,4室2厅,161.1,南 北,其他,高楼层(共6层),2008年,板楼,https://cs.lianjia.com/ershoufang/104112760573.html
居家小户朝南带大阳台看花园 封闭式管理 安全安静,惠通才郡 ,马王堆,39,9223,1室1厅,42.29,南,其他,中楼层(共30层),2015年,塔楼,https://cs.lianjia.com/ershoufang/104112985187.html
精装自住小三房 客厅朝南带阳台 采光好 户型周正,东玺门 ,马王堆,100,10735,3室2厅,93.16,南,其他,34层,2009年,板塔结合,https://cs.lianjia.com/ershoufang/104113320255.html
火车站 三湘 马王堆 铁银正规三房带杂物间出售,湖南电信公司铁银花园宿舍 ,马王堆,76.8,8100,3室2厅,94.82,南,简装,中楼层(共8层) ,,板楼,https://cs.lianjia.com/ershoufang/104113357110.html
万家丽正地铁口 配套成熟 出行方便,东玺门 ,马王堆,88.8,10257,2室1厅,86.58,南,其他,31层,2009年,板塔结合,https://cs.lianjia.com/ershoufang/104112266192.html
浏阳河东高档楼盘 满五唯一 带全套家具家电,恒大江湾 ,汽车东站,94,9089,3室2厅,103.43,南 北,精装,高楼层(共32层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111807971.html
晚报大道地铁口  办公性质   无燃气,都市先锋 ,晚报,43.8,6453,2室0厅,67.88,北,其他,中楼层(共8层),2003年,板楼,https://cs.lianjia.com/ershoufang/104113455168.html
房子朝南阳光充足，业主自住精装，环保材料。,先锋东外滩 ,马王堆,116,9529,3室1厅,121.74,南,精装,中楼层(共33层),2011年,板楼,https://cs.lianjia.com/ershoufang/104110301500.html
芙蓉区 温馨两房  拎包入住   户型周正,先锋东外滩 ,马王堆,35,6581,2室2厅,53.19,南,精装,高楼层(共34层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104106114505.html
近地铁3号线大汉海派带天然气的标准的一室一厅,大汉海派 ,晚报,56,11300,1室1厅,49.56,东,精装,中楼层(共22层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104112482915.html
